,0,1
0,촬영,850
1,성운,442
2,사진,423
3,것,383
4,별,374
5,프로그램,345
6,가이드,342
7,입니다,338
8,카메라,305
9,이,293
10,필터,286
11,장,276
12,보정,266
13,망원경,265
14,적도,252
15,있는,242
16,은하,225
17,대상,218
18,및,214
19,관측,201
20,수,195
21,스택,183
22,천문대,174
23,더,154
24,경통,145
25,질문,143
26,그,134
27,노출,129
28,장비,129
29,부탁,128
30,어서,127
31,답,126
32,드립,126
33,조경철,124
34,있다,119
35,정보,116
36,때,116
37,다시,116
38,중,114
39,안녕,112
40,별자리,108
41,하늘,107
42,생각,105
43,사용,104
44,시간,103
45,찍,103
46,적,102
47,카페,101
48,광년,101
49,고,101
50,요,97
51,있,95
52,경,95
53,있습니다,94
54,촬영장,93
55,천문,91
56,위,91
57,정도,91
58,제출,90
59,보고,90
60,소,88
61,조금,88
62,달,86
63,화천,86
64,은하수,85
65,개,85
66,초,84
67,우주,82
68,장소,82
69,까지,82
70,같습니다,82
71,일시,81
72,제,81
73,가입,80
74,글,79
75,신청,78
76,후,77
77,로,77
78,어요,77
79,초점,77
80,를,76
81,도,76
82,다가,74
83,하나,74
84,자리,74
85,안,72
86,조정,72
87,성단,72
88,많은,71
89,천체,70
90,이번,70
91,몇,69
92,약,69
93,곳,66
94,날,66
95,전,65
96,주변,65
97,행성,64
98,강원도,64
99,감사,64
100,위치,64
101,분,64
102,회원,63
103,은,63
104,처음,62
105,구름,62
106,저,62
107,보,60
108,보이,60
109,번,60
110,어보,60
111,같은,59
112,이제,58
113,가장,58
114,등,57
115,면서,57
116,다른,57
117,의,57
118,눈,57
119,밤하늘,56
120,해주,55
121,부분,55
122,사진기,55
123,기,54
124,좋은,54
125,처리,54
126,거리,54
127,이상,53
128,삼각대,53
129,가지,53
130,처럼,53
131,때문,52
132,못,52
133,픽셀,52
134,사람,51
135,태양,51
136,오늘,51
137,좀,51
138,가대,51
139,장치,51
140,과,51
141,습,50
142,모습,50
143,인치,50
144,상,50
145,영하,49
146,천체망원경,49
147,님들,49
148,운,49
149,관심,49
150,렌즈,49
151,문제,49
152,또,49
153,예정,49
154,이유,48
155,새벽,48
156,오리온,48
157,위해,47
158,해상도,47
159,시작,47
160,천체관측,46
161,구입,46
162,리듀,46
163,날씨,46
164,알,46
165,지구,45
166,아직,45
167,목성,45
168,딥스카이,44
169,경우,44
170,촬,44
171,가능,44
172,크기,44
173,해주시,43
174,빛,43
175,진행,43
176,밤,43
177,바로,43
178,해,42
179,사랑,42
180,제대로,42
181,영역,42
182,발견,42
183,바람,41
184,관련,40
185,점,40
186,시,40
187,부터,39
188,볼,39
189,월령,39
190,계기,38
191,디,38
192,계속,38
193,결과,38
194,이런,38
195,구매,38
196,양식,37
197,아래,37
198,한번,37
199,각각,37
200,베일,37
201,우리,37
202,있으며,37
203,없는,36
204,각,36
205,박사,36
206,다만,36
207,정말,36
208,지난,36
209,백조자리,36
210,려고,35
211,굴절,35
212,게,35
213,일,35
214,올해,35
215,테스트,34
216,총,34
217,이나,34
218,화천군,34
219,사내면,34
220,드디어,34
221,조합,34
222,모양,34
223,등급,34
224,레드,34
225,기재,33
226,진,33
227,천체사진,33
228,확실,33
229,모두,33
230,언제,33
231,사,33
232,나,32
233,이름,32
234,사이,32
235,시도,32
236,여러,31
237,아보,31
238,초보,31
239,시시,31
240,어가,31
241,합성,31
242,가스,31
243,구상성단,31
244,날짜,31
245,주,30
246,차,30
247,자,30
248,다음,30
249,새,30
250,앞,30
251,리,29
252,토성,29
253,사실,29
254,어진,29
255,작은,29
256,작년,29
257,산개성단,29
258,중심,29
259,게시판,28
260,주시,28
261,인지,28
262,가격,28
263,그대로,27
264,복사,27
265,초승달,27
266,천문학,27
267,안시,27
268,자신,27
269,론,27
270,오리온자리,27
271,미리,27
272,나선은하,27
273,맑은,27
274,천,27
275,꼭,27
276,목록,27
277,주문,27
278,네,27
279,메시,27
280,발광성운,27
281,이루,27
282,말머리,27
283,데,26
284,쌍안경,26
285,화각,26
286,대성,26
287,기도,26
288,비,26
289,여서,25
290,마음,25
291,온도,25
292,먼지,25
293,나중,25
294,배,25
295,겉보기,25
296,실,25
297,입하,24
298,조건,24
299,상세,24
300,아무,24
301,사전,24
302,셀레스트,24
303,만족,24
304,역시,24
305,좋,24
306,예전,24
307,실제,24
308,없,24
309,있는데,24
310,말,24
311,금성,24
312,달이,24
313,구경,24
314,공지,24
315,의해,24
316,겨울,24
317,보조,24
318,붙여넣기,23
319,일주,23
320,내,23
321,대한,23
322,요즘,23
323,어제,23
324,만,23
325,처,23
326,필요,23
327,일단,23
328,거의,23
329,있어,23
330,나름,23
331,질량,23
332,시상,23
333,원본,22
334,어떻게,22
335,끝,22
336,북아메리카,22
337,두,22
338,인사,22
339,별로,22
340,그냥,22
341,이용,22
342,화성,22
343,지기,22
344,문력,22
345,지금,22
346,사항,22
347,식,22
348,분류,22
349,붉은,22
350,형,22
351,밑,21
352,포토샵,21
353,시오,21
354,냉각,21
355,현재,21
356,시기,21
357,포함,21
358,뭐,21
359,속,21
360,제작,21
361,보기,21
362,래서,21
363,있고,21
364,색,21
365,비교,21
366,아포,21
367,중심부,21
368,수록,21
369,벽,21
370,켓,21
371,장미성운,21
372,층,21
373,주어,20
374,도전,20
375,준비,20
376,인해,20
377,표적,20
378,재미,20
379,코끼리,20
380,모든,20
381,거,20
382,듯,20
383,추천,20
384,보르헤스,20
385,로부터,20
386,있었습니다,20
387,아름,20
388,달력,20
389,구,20
390,년,20
391,매우,20
392,석호,20
393,은하단,20
394,걸이,20
395,통보,19
396,야합,19
397,첫,19
398,유성우,19
399,도움,19
400,어떤,19
401,기록,19
402,어디,19
403,취미,19
404,터,19
405,길,19
406,가을,19
407,확인,19
408,먼저,19
409,정,19
410,여기,19
411,책,19
412,진입,19
413,수소,19
414,뒤,19
415,친구,19
416,지역,19
417,적위,19
418,대해,18
419,앞서,18
420,여야,18
421,본인,18
422,쪽,18
423,드릴,18
424,보유,18
425,운전,18
426,도시,18
427,면,18
428,명,18
429,하니,18
430,치,18
431,나이,18
432,또한,18
433,음으로,18
434,록,18
435,스카이,18
436,사드르,18
437,배송,18
438,만큼,18
439,여행,18
440,통해,18
441,충남,18
442,이태형,18
443,본적,17
444,삭제,17
445,일주사,17
446,살,17
447,목적,17
448,간단,17
449,십,17
450,모델,17
451,공부,17
452,남쪽,17
453,슈미트,17
454,기분,17
455,말머리성운,17
456,코로나,17
457,도록,17
458,반갑습니다,17
459,오랜만,17
460,늘,17
461,방,17
462,프레임,17
463,연결,17
464,어댑터,17
465,적경,17
466,반사성운,17
467,초신성,17
468,큰곰,17
469,조절,17
470,활동,16
471,무조건,16
472,여름철,16
473,입문,16
474,왼쪽,16
475,운영,16
476,줄,16
477,지식,16
478,영,16
479,코,16
480,더니,16
481,지고,16
482,방식,16
483,시디,16
484,담,16
485,두운,16
486,동,16
487,차이,16
488,혹시,16
489,검색,16
490,성,16
491,플랫,16
492,모자이크,16
493,물,16
494,수가,16
495,최근,16
496,고도,16
497,생,16
498,공모전,15
499,부합,15
500,걸,15
501,라이트룸,15
502,직접,15
503,컬러,15
504,느낌,15
505,뭔가,15
506,광축,15
507,간만,15
508,상태,15
509,새로,15
510,고민,15
511,이후,15
512,지난번,15
513,말씀,15
514,간,15
515,부,15
516,아마,15
517,마,15
518,집,15
519,일기,15
520,경위대,15
521,같아,15
522,마지막,15
523,극,15
524,이야기,15
525,처녀자리,15
526,거대,15
527,겉보기등급,15
528,넓은,15
529,리도,15
530,여름,15
531,플레이아데스,15
532,용,14
533,무엇,14
534,같다,14
535,정확,14
536,회,14
537,배율,14
538,해결,14
539,약간,14
540,거나,14
541,을지,14
542,아지,14
543,즉,14
544,저런,14
545,옆,14
546,오래,14
547,있으면,14
548,보름달,14
549,선명,14
550,아가,14
551,봄,14
552,생기,14
553,경고,14
554,고정,14
555,돌고래,14
556,참조,14
557,명칭,14
558,지름,14
559,보데,14
560,공동,14
561,학교,14
562,신,14
563,입금,14
564,북,13
565,저녁,13
566,오른쪽,13
567,무거,13
568,반사,13
569,설정,13
570,참고,13
571,함,13
572,내용,13
573,별보,13
574,꽤,13
575,우리은하,13
576,보시,13
577,설명,13
578,접안렌즈,13
579,캠핑,13
580,쯤,13
581,신입,13
582,기회,13
583,어찌,13
584,있네요,13
585,려면,13
586,중간,13
587,유명,13
588,아령성운,13
589,도착,13
590,왜,13
591,젊은,13
592,축,13
593,전체,13
594,밝기,13
595,삼렬성운,13
596,리듀서,13
597,세,13
598,암흑성운,13
599,이온화,13
600,형태,13
601,기억,13
602,전후,13
603,오,12
604,자주,12
605,재,12
606,연습,12
607,방법,12
608,라서,12
609,추,12
610,급,12
611,유지,12
612,편이,12
613,계절,12
614,움직,12
615,대충,12
616,여전,12
617,멀리,12
618,하트,12
619,일이,12
620,기준,12
621,작업,12
622,나타,12
623,그때,12
624,언,12
625,등록,12
626,예상,12
627,공모,12
628,손,12
629,건,12
630,그나,12
631,모,12
632,항상,12
633,시험,12
634,포기,12
635,월식,12
636,샤를,12
637,북쪽,12
638,행복,12
639,최대,12
640,없었습니다,12
641,확대,12
642,캐논,12
643,얼마,12
644,아주,12
645,불리,12
646,봄철,12
647,시가,12
648,권,12
649,올빼미,12
650,목표,11
651,열심,11
652,지도,11
653,자동차,11
654,설치,11
655,마운트,11
656,아이리스,11
657,자체,11
658,허블,11
659,위키피디아,11
660,발췌,11
661,성공,11
662,좋네요,11
663,대략,11
664,동안,11
665,마무리,11
666,아하,11
667,자세,11
668,황소자리,11
669,상의,11
670,최대한,11
671,주말,11
672,존재,11
673,고요,11
674,서울,11
675,다행,11
676,았습니,11
677,시야,11
678,개조,11
679,다운,11
680,가이딩,11
681,현상,11
682,제품,11
683,방향,11
684,구성,11
685,인적,11
686,서로,11
687,천문학자,11
688,특징,11
689,나선팔,11
690,붉,11
691,솜브레로,11
692,소니,11
693,일반,11
694,문자,11
695,탁상,11
696,사이언스,11
697,같아서,10
698,인,10
699,감,10
700,추어,10
701,외곽,10
702,선택,10
703,성격,10
704,지속,10
705,있다면,10
706,모노,10
707,안드로메다,10
708,독수리,10
709,있을까요,10
710,네이버,10
711,자료,10
712,색감,10
713,좋습니다,10
714,배경,10
715,었습니,10
716,지나,10
717,풀프레임,10
718,가득,10
719,폰,10
720,외부,10
721,의미,10
722,시경,10
723,추가,10
724,일정,10
725,다양,10
726,서브,10
727,틸트,10
728,특성,10
729,는가,10
730,가운데,10
731,제거,10
732,문,10
733,야할,10
734,띠,10
735,오메가성운,10
736,있을,10
737,워,10
738,일부,10
739,괜찮은,10
740,기대,10
741,해당,10
742,이해,10
743,활용,10
744,계방산,10
745,인생,10
746,강퇴,10
747,대가,10
748,스텔라,10
749,리움,10
750,출처,10
751,푸른,10
752,아크,10
753,사서,10
754,원래,10
755,핸드폰,10
756,만원,10
757,댓글,10
758,겨울철,10
759,타임즈,10
760,천일,9
761,지리산,9
762,조,9
763,배우,9
764,연,9
765,고자,9
766,인터넷,9
767,채,9
768,환경,9
769,예산,9
770,장거리,9
771,한편,9
772,개념,9
773,신가,9
774,입,9
775,여주,9
776,장면,9
777,레이저,9
778,겸,9
779,성능,9
780,기본,9
781,흐흐,9
782,마치,9
783,근처,9
784,전하,9
785,리하,9
786,센서,9
787,합,9
788,머리,9
789,영상,9
790,링크,9
791,잠시,9
792,있었,9
793,부근,9
794,바람개비,9
795,희,9
796,스마트폰,9
797,참여,9
798,초점거리,9
799,경험,9
800,동쪽,9
801,페르세우스자리,9
802,취소,9
803,저렴,9
804,그것,9
805,바,9
806,추적,9
807,마다,9
808,표현,9
809,완전,9
810,형성,9
811,많아,9
812,가까이,9
813,예,9
814,조치,9
815,추정,9
816,다리,9
817,조사,9
818,듭니,9
819,작,9
820,아닌,9
821,해도,9
822,산,9
823,다크,9
824,채팅,9
825,이지,9
826,좋겠습니다,9
827,이요,9
828,내부,9
829,탄생,9
830,자외선,9
831,잘못,9
832,파인더,9
833,풍부,9
834,실패,9
835,학생,9
836,신호,9
837,어마,9
838,꽈드,9
839,기간,9
840,크게,9
841,월요일,9
842,초안,9
843,유구읍,9
844,블로그,9
845,이중성단,9
846,외뿔소자리,9
847,디자인,9
848,기능,9
849,신분,9
850,행사,9
851,주차,9
852,충주,9
853,고구려,9
854,학관,9
855,관장,9
856,협약,9
857,블랙홀,8
858,산청,8
859,의향,8
860,컴팩트,8
861,있으,8
862,기둥,8
863,광시,8
864,펠리칸,8
865,전북,8
866,찍기,8
867,점점,8
868,중고,8
869,항성,8
870,촛점,8
871,아야,8
872,캘리포니아,8
873,양,8
874,위성,8
875,파악,8
876,그동안,8
877,얼마나,8
878,같은데,8
879,힘,8
880,유성,8
881,주차장,8
882,오후,8
883,주신,8
884,이면,8
885,정리,8
886,이기,8
887,조언,8
888,특이,8
889,장착,8
890,연장,8
891,하루,8
892,투명,8
893,볼때,8
894,잠깐,8
895,막,8
896,서쪽,8
897,장마,8
898,근,8
899,공간,8
900,보이지,8
901,우연,8
902,있다는,8
903,있게,8
904,치하,8
905,여유,8
906,같고,8
907,색상,8
908,같네요,8
909,개기월식,8
910,위키,8
911,궁수자리,8
912,채널,8
913,끼,8
914,세부,8
915,묘사,8
916,수도,8
917,좀더,8
918,중앙,8
919,그런,8
